Unnamed: 0,번호,제목,저자,출판사,출판일
,52,Museum Learning Colloborative Redux,"Leinhardt, G.; Knutson, K.; Crowley, K.",MUSEUM EDUCATION ROUNDTABLE,2003
,53,Changes in Collective Memory: The Schematic Narrative Template of Victimhood in Kharkiv Museums,"Ivanova, E.",MUSEUM EDUCATION ROUNDTABLE,2003
,54,"Fields of dreams: Every summer the UK goes festival-mad, and museums and galleries are making sure they get in on the act","Gray, L.",MUSEUMS ASSOC,2011
,55,"TEA, CAKE AND CONVERSATION: CREATING A COMMUNITY AT THE POWELL-COTTON MUSEUM",SARAH BROWN; KEIKO HIGASHI,Museum Ethnographers Group,2015
,56,"Social work: As work on the Museum of East Anglian Life's capital project continues, its director, Tony Butler, tells Simon Stephens why progress has been about more than bricks and mortar",unknown,MUSEUMS ASSOC,2011
,57,RURAL MUSEUM SPACES AS CATALYSTS FOR COLLABORATIVE RESEARCH: DETOURS AND POSSIBILITIES,TOBIAS SPERLICH; LACE MARIE BROGDEN,Museum Ethnographers Group,2015
,58,"St Fagans National Museum of History, Cardiff Essex Havard explores a redevelopment that blends old and new in a sympathetic manner, inviting visitors to explore outside and in",unknown,MUSEUMS ASSOC,2017
,59,Archaeological museums and tourism in China: a case study of the Sanxingdui Museum,"Lai, C.",Taylor & Francis,2015
,60,"Leonardo da Vinci: The Mechanics of Genius, Science Museum, London An exhibition dedicated to Leonardo the engineer fails to do justice to his polymathic genius","Carnall,  Mark",MUSEUMS ASSOC,2016
,61,"Wardown House Museum & Gallery, Luton, Bedfordshire An imaginative and quirky approach to redevelopment has made this venue feel more like a home","Swift,  Frazer",MUSEUMS ASSOC,2017
,62,"The more the merrier: Why museums, libraries and archives can be happy bedfellows","Clare, R.",MUSEUMS ASSOC,2008
,63,"Going, going, gone... Gareth Harris on how cash-strapped museums and galleries are battling for acquisitions in the inflated international art market",unknown,MUSEUMS ASSOC,2008
,64,"Pliosaurus! Face to Face With a Jurassic Beast, Bristol Museum & Art Gallery Matt Williams meets Doris, a formidable prehistoric sea creature that children adore, despite its gruesome wounds",unknown,MUSEUMS ASSOC,2017
,65,Museums must improve facilities for children with learning disabilities,unknown,MUSEUMS ASSOC,2003
,66,"Drawn from the Pits and Women in the Miners' Strike, National Coal Mining Museum for England, Wakefield These two exhibitions tap into a rich seam of mining history","Holland, Jude",MUSEUMS ASSOC,2021
,67,THE REVEREND MCFARLANE'S TORRES STRAIT 'GOD OF PROPAGATION' AND THE POTENTIAL OF ONLINE MUSEUM CATALOGUES,HARRY BERAN,Museum Ethnographers Group,2015
,68,Seeing in the century Museums in Northern Ireland are helping heal past wounds by telling 100 years of history from both sides,"Adams, Geraldine Kendall",MUSEUMS ASSOC,2021
,69,Public facing Museums that are shut for redevelopment are using a range of initiatives to ensure people don't forget them,"Black,  Holly",MUSEUMS ASSOC,2017
,70,Identity &amp; Community: A Look at Four Latino Museums,"Zamora, H.",AMERICAN ASSOCIATION OF MUSEUMS,2002
,71,Do the right thing mainstream museums should stop being racist and elitist,"Tortolero, C.",MUSEUMS ASSOC,2003
,72,"The Palestinian Museum, Birzeit, Palestine Rebecca Swirsky finds out about director Mahmoud Hawari's mandate to showcase the contested region's history, society and culture",unknown,MUSEUMS ASSOC,2017
,73,Toy stories John Holt speaks to the wonderfully eccentric proprietors of toy museums across the UK,unknown,MUSEUMS ASSOC,2017
,74,"Museum of... Scottish Crannog Centre, Perthshire","Miller, Victoria",MUSEUMS ASSOC,2021
,75,All in good jest The UK's museums have been a source of satire for centuries,"Bryant,  Mark",MUSEUMS ASSOC,2018
,76,Surgical spirit Simon Stephens talks to Sam Alberti about his plans to celebrate the bicentenary of the Hunterian Museum,unknown,MUSEUMS ASSOC,2013
,77,"Lyme Regis Museum, Dorset","Mason,  Peter",MUSEUMS ASSOC,2018
,78,Cultural capital Oil-rich countries in the Middle East are pouring money into new museum projects. Sharon Heal looks at the implications,unknown,MUSEUMS ASSOC,2008
,79,The leavers what happens when people leave museums for fresh pastures,"Mulhearn, D.",MUSEUMS ASSOC,2013
,80,Stories from the stores investigates how museums are making stored collections more engaging for visitors,"Adams, Geraldine Kendall",MUSEUMS ASSOC,2021
,81,"Life on Board, Merseyside Maritime Museum, Liverpool Culture, community and identity are explored in a tribute to the city's seafaring history","Jeffers, Emily",MUSEUMS ASSOC,2021
,82,A Curriculum-Theory Model of the Art Museum Milieu as Teacher,"Vallance, E.",MUSEUM EDUCATION ROUNDTABLE,2003
,83,Blythe spirit How three museums are rising to the challenge of moving their collections from a much-loved building to more accessible facilities,"Stephens, Simon",MUSEUMS ASSOC,2021
,84,Grassley's Roots: The Man (Some) Museums Love to Hate,"Arroyo, L.",AMERICAN ASSOCIATION OF MUSEUMS,2008
,85,A SENSE OF PLACE: DIGITALLY MAPPING MUSEUM COLLECTIONS,FELICITY MCWILLIAMS,Museum Ethnographers Group,2014
,86,Joined-up thinking Jonathan Knott finds out how museums are developing membership schemes designed to engage with people more deeply,unknown,MUSEUMS ASSOC,2017
,87,"London's Transport at War, London Transport Museum, London","Boon, Rachel",MUSEUMS ASSOC,2021
,88,"Memories in Transition: Memory and Museums in the ""New"" South Africa","O Reilly, J.",MUSEUM EDUCATION ROUNDTABLE,2004
,89,Whom Should We Remember? Japanese Museums of War and Peace,"Yoshida, T.",MUSEUM EDUCATION ROUNDTABLE,2004
,90,"Discover Preston, Harris Museum and Art Gallery","Suggitt, M.",MUSEUMS ASSOC,2013
,91,"Museum of... The National Leather Collection, Northampton","Gray, Louise",MUSEUMS ASSOC,2021
,92,"Museum of Fine Arts, Houston","Stephens, Simon",MUSEUMS ASSOC,2021
,93,"Museum website features, aesthetics, and visitors’ impressions: a case study of four museums","Lopatovska, Irene",Taylor & Francis,2015
,94,"THE HEARST MUSEUM OF ANTHROPOLOGY, THE NEW DEAL, AND A REASSESSMENT OF THE -DARK AGE- OF THE MUSEUM IN THE UNITED STATES","Redman, S.",BLACKWELL,2011
,95,War and peace James Morrison discovers how museums and galleries are interpreting conflict and its aftermath,unknown,MUSEUMS ASSOC,2008
,96,"Designing Memory, Memorial, and Remembrance Experiences for Museum Web Visitors","O Dowd, A. M.",MUSEUM EDUCATION ROUNDTABLE,2004
,97,University challenge Can university museums cater for academic research and public access?,"Engels, A.",MUSEUMS ASSOC,2003
,98,"L8 Unseen, Museum of Liverpool; Tricia Porter, Bluecoat : Two exhibitions are shedding new light on a long-established multicultural community","Stephens,  Simon",MUSEUMS ASSOC,2015
,99,"Call to action: The next few years are going to be tough, according to the Museums Association's new president","Davies, S.",MUSEUMS ASSOC,2008
,100,Museum der Kulturen ;  Intrinsic Perspectives: Inspiring Aspects of Anthropology ;  On Stage: Die Kunst der Pekingoper ;  Chinatown,MICHAEL HITCHCOCK,Museum Ethnographers Group,2013
,1,"Ancient Egyptian Book of the Dead, British Museum/Petrie Museum: Two contrasting museums present their Egyptian collections","Stephens, S.",MUSEUMS ASSOC,2011
,2,Representing archaeology in museums. The Castilian question,"Hall, M.",Society of Museum Archaeologists,1995
,3,Free the visitors: the museum's documentation through interactive systems,"Jean, S.",Museum Documentation Association,1993
,4,Museum's International Exhibition Models: Case Study of the Co-curation of ``Tattoo COLOR · Tattoo HONOR Exhibition'' by National Taiwan Museum and Museum Siam,"Kuo, Chao-Ling; Su, I-Zu",NATIONAL TAIWAN MUSEUM,2021
,5,Science Museum Learning Collaboratories: Helping to Bridge the Gap Between Museums' Informal Learning Resources and Science Education in K-12 Schools,"Kahn, T. M.","Toronto:; Archives &amp; Museum Informatics,",2007
,6,"""Virtual museum"" for school children","Kissel, O.",Museum Documentation Association,1993
,7,Bookmarking In Museums: Extending The Museum Experience Beyond The Visit?,"Filippini-Fantoni, S.; Bowen, J.","Toronto:; Archives &amp; Museum Informatics,",2007
,8,The Virtual Ramp to the Equivalent Experience in the Virtual Museum: Accessibility to Museums on the Web,"Nevile, L.;McCathieNevile, C.",Museum Informatics,2002
,9,"This Is Our Life: Haida Material Heritage and Changing Museum Practice. Cara Krmpotich and Laura Peers, with the Haida Repatriation Committee and Staff of the Pitt Rivers Museum and British Museum. VANCOUVER: UNIVERSITY OF BRITISH COLUMBIA PRESS, 2013. 292 PP.","Truong, L.",BLACKWELL,2015
,10,Museum: Behind the Scenes at the Metropolitan Museum of Art bookshelf,"Schwarzer, M.",AMERICAN ASSOCIATION OF MUSEUMS,2007
,11,Britain's reluctant museums: how the National Trust has embraced its inner museum,"Kennedy, M.",MUSEUMS ASSOC,2007
,12,Bury Transport Museum: Revamped museum could do with a bit more noise and activity,"Bryan, T.",MUSEUMS ASSOC,2010
,13,"Case Study: Cultural Heritage Outreach and Museum/School Partnerships: Initiatives at the School of Information, University of Michigan","Frost, C. O.",Museum Informatics,1999
,14,Evaluating Context-Aware Mobile Applications in Museums: Experiences from the MUSE Project,"Cinotti, T. S.; Raffa, G.; Roffia, L.; Garzotto, F.; Muzii, R.; Varlese, V.; Malavasi, M.; Galasso, S.","Archives &amp; Museum Informatics,",2004
,15,"Bagshaw Museum, Batley, Yorkshire: How have the changing demographics of Batley affected its local museum?","Suggitt, M.",MUSEUMS ASSOC,2010
,16,The fans' museum. Are sports museums are for everyone or just the fans?,"Stephens, S.",MUSEUMS ASSOC,2002
,17,"The Braid, Ballymena Museum: The new museum and arts centre doesn't shy away from difficult topics","Stephens, S.",MUSEUMS ASSOC,2009
,18,Situated Knowledge and the Virtual Science and Industry Museum: Problems in the social-technical interface,"Hemmings, T.; Randall, D.; Francis, D.; Marr, L.",Archives & Museum Informatics,1997
,19,"Inside the ""Black Museum"" A Quest for Life-Changing Museums","Masich, A. E.",AMERICAN ASSOCIATION OF MUSEUMS,2005
,20,"Dude, Where's My Museum? Inviting Teens to Transform Museums","Schwartz, D. F.",AMERICAN ASSOCIATION OF MUSEUMS,2005
,21,Monkwearmouth Station Museum: The restored glory of a much-loved community museum,"Lewis, P.",MUSEUMS ASSOC,2007
,22,International Slavery Museum: Liverpool's new museum combines sound history and impressive displays,"Fraser, P.",MUSEUMS ASSOC,2007
,23,The Hidden Museum: An Account of the Services of the Staff of the Museum of Fine Arts,"VENN, D.","Museum of Fine Arts, Boston",1964
,24,British Museum's regional plan British Museum to develop partnership galleries in regions,"Heal, S.",MUSEUMS ASSOC,2009
,25,Wandsworth Museum: An uninspiring redevelopment of a local history museum,"Conlin, J.",MUSEUMS ASSOC,2010
,26,City museums: How urban growth is affecting museum development,unknown,MUSEUMS ASSOC,2005
,27,"""Virtual museum"" for school children","Kissel, O.",Museum Documentation Association,1993
,28,Grace Darling Museum: Folk hero Grace Darling finally has a museum worthy of her reputation,"Andersen, H.C.",MUSEUMS ASSOC,2008
,29,The Lynn Museum: Seahenge is the star attraction at this redeveloped museum in Norfolk,"Hide, L.",MUSEUMS ASSOC,2008
,30,"Museum of the University of St Andrews A nice job's been made of the building, but what about the museum?","Johnson, N.",MUSEUMS ASSOC,2009
,31,At Home in the Heartland Online: forming a museum/school resource via the Web,"Lewis, L.",Archives & Museum Informatics,1997
,32,Virtual Museums: How to make digital information child-friendly?,"Milekic, S.",Archives & Museum Informatics,1997
,33,Multimedia technology at the Orsay Museum: Institutional experience and future prospects,"Le Coz, F.;Lemessier, F.",Museum Documentation Association,1993
,34,Wedgwood Museum: Stoke-on-Trent's museum opens in troubled times for the Potteries,"Blyzinsky, M.",MUSEUMS ASSOC,2009
,35,Poole Museum: Poole's distinctive-looking museum should bring in locals and tourists,"Edge, J.",MUSEUMS ASSOC,2007
,36,Protecting a museum's digital stock through watermarks,"Bissel, T.;Bogen, M.;Hadamschek, V.;Riemann, C.",Museum Informatics,2000
,37,Islington Museum: New London museum fails to tell the whole story,"Mumtaz, F.",MUSEUMS ASSOC,2008
,38,Free the visitors: the museum's documentation through interactive systems,"Jean, S.",Museum Documentation Association,1993
,39,Between the Lines of Engagement in Museums: Indiana University and The Children's Museum of Indianapolis,"Wood, E.; Wolf, B.",MUSEUM EDUCATION ROUNDTABLE,2008
,40,Leeds City Museum: A museum at last but does it have enough wow factor?,"Heal, S.",MUSEUMS ASSOC,2008
,41,Bank crash hits museum: Manchester's Museum of Science and Industry has cash in failed bank,"Stephens, S.",MUSEUMS ASSOC,2008
,42,Linking and Thinking: the Museum@School,"Hazan, S.",Museum Informatics,1999
,43,"Hertford Museum, Hertfordshire: Hertford Museum's redesign serves its purpose and its community","Calder, P.R.",MUSEUMS ASSOC,2010
,44,Revolutionary `Vandalism' and the Birth of the Museum: The Effects of a Representation of Modern Cultural Terror,"Poulot, D.",Athlone P.,1992
,45,The Public Interest in the Art Museum's Public,"Schuster, J. M. D.",Athlone P.,1992
,46,The New Busch-Reisinger Museum: Plans and Progress,unknown,"[Harvard Art Museums, Harvard University Art Museums, The President and Fellows of Harvard College]",1987
,47,Etruscan Art in the Fogg Museum: Part II,"TANNER, D. B.","[Harvard University Art Museums, Harvard Art Museums, The President and Fellows of Harvard College]",1935
,48,National museums' funding agreements set high targets for school visits,"Engels, A.",MUSEUMS ASSOC,2003
,49,"Musselburgh Museum/John Gray Centre, East Lothian","Stephens, S.",MUSEUMS ASSOC,2012
,50,Growing awareness Is it necessary to have a slick public relations company to manage your museum's image?,"Muller, K.",MUSEUMS ASSOC,2004
,51,"Successful Strategies for Dealing With New Technology in Museums: A Case Study of Immersive Technology at the Immigration Museum, Melbourne","Schettino, Patrizia",Wiley-Blackwell,2016
,52,Remembrance day Should World War Two sites be turned into museums?,"Croft, C.",MUSEUMS ASSOC,2003
,53,The Relevant Museum: A Reflection on Sustainability,"Koster, E.",AMERICAN ASSOCIATION OF MUSEUMS,2006
,54,"The Mall Over the Museum: Into the mind of the fascinating, maddening, uncensored, thoughtful, challenging, engaging, tech-savvy, social and fun tween","Wilkening, S.; Chung, J.",AMERICAN ASSOCIATION OF MUSEUMS,2009
,55,Museum: The Musical!,"Rachleff, M.",AMERICAN ASSOCIATION OF MUSEUMS,2005
,56,"Decolonizing Museums: Representing Native America in National and Tribal Museums. Amy Lonetree. Chapel Hill: University of North Carolina Press, 2012. 221 PP.","Boast, R.",BLACKWELL,2014
,57,Rethinking Museums' Adult Education for K-12 Teachers,"Marcus, A.S.",MUSEUM EDUCATION ROUNDTABLE,2008
,58,A Thing of Lasting Beauty: The Evolution of the Japanese American National Museum's School Programs,"Sasaki, L.",MUSEUM EDUCATION ROUNDTABLE,2005
,59,The Historian in the Museum: An interview with Eric Foner,"Arroyo, L.",AMERICAN ASSOCIATION OF MUSEUMS,2006
,60,Practical Partnerships Strengthening the Museum-School Relationship,"Bobick, B.; Hornby, J.",MUSEUM EDUCATION ROUNDTABLE,2013
,61,Nonformal and Informal Adult Learning in Museums: A Literature Review,"Dudzinska-Przesmitzki, D.; Grenier, R.S.",MUSEUM EDUCATION ROUNDTABLE,2008
,62,Museum/University Ecology: An Earth Day Example from a Children’s Museum,"Clarke-Vivier, Sara; Bard, Jane",MANEY PUBLISHING,2016
,63,Some Corot Paintings in the Museum's Collection,"CUNNINGHAM, C. C.","Museum of Fine Arts, Boston",1936
,64,Communicating Art in Museums: Language Concepts in Art Education,"Pierroux, P.",MUSEUM EDUCATION ROUNDTABLE,2003
,65,A Note on the Subject Matter of the Museum's Painting by Soest,unknown,"Museum of Fine Arts, Boston",1954
,66,"Collecting Experiences in the 1930s: Indonesian and Pacific Collections of Růžena Charlotta Urbanová in the National Museum. FionaKerlogue and DagmarPospišilová. Prague: The National Museum, 2018, 272 pp. ISBN 978‐80‐7036‐577‐9.","Kreps, Christina",John Wiley & Sons Ltd,2022
,67,Caught out: The bicentenary of the abolition of the slave trade act has exposed museums' unwillingness to discuss uncomfortable histories,"Lynch, B.",MUSEUMS ASSOC,2007
,68,"Holophusicon: The Leverian Museum-An Eighteenth-Century English Institution of Science, Curiosity, and Art  by Adrienne L. Kaeppler",ANDREW MILLS; Andy Mills,Museum Ethnographers Group,2014
,69,Movement in museums: mediating between museum intent and visitor experience,"Tzortzi, K.",Taylor & Francis,2014
,70,There is more interactivity than ever at the Science Museum's new gallery,"Brightman, V.",MUSEUMS ASSOC,2008
,71,Visitor Voices in Art Museums: The Visitor-Written Label,"Nashashibi, S. M.",MUSEUM EDUCATION ROUNDTABLE,2003
,72,EARLY COLLECTIONS OF HAIDA ARGILLITE CARVING IN SCOTTISH MUSEUMS-A PRELIMINARY REPORT,KAITLIN MCCORMICK,Museum Ethnographers Group,2014
,73,Museum–University Partnerships as a New Platform for Public Engagement with Scientific Research,"Bell, Jamie; Chesebrough, David; Cryan, Jason; Koster, Emlyn",MANEY PUBLISHING,2016
,74,National Waterways Museum: A more adventurous approach to interpretation is needed,"Bryan, T.",MUSEUMS ASSOC,2008
,75,Victoria Gallery &amp; Museum: The building is the star attraction at the University of Liverpool,"Burch, S.",MUSEUMS ASSOC,2008
,76,Museum–University Partnerships Transform Teenagers’ Futures,"Rose, Sarah W.",MANEY PUBLISHING,2016
,77,"The Copan Sculpture Museum: Ancient Maya Artistry in Stucco and Stone. Barbara W. Fash. cambridge: peabody museum press, 2011. 216 pp.","Mortensen, L.",BLACKWELL,2013
,78,"Interview with John Curtis, the British Museum's man in Iraq","Heyward, F.",MUSEUMS ASSOC,2003
,79,Remembrance &amp; Renewal: One Museum's Account of 9/11,"Spilka, A. R.",AMERICAN ASSOCIATION OF MUSEUMS,2002
,80,"Atlantic Worlds: How easy is it to navigate the National Maritime Museum's new gallery exploring connections between Britain, Africa and the Americas?","Worthington, C.",MUSEUMS ASSOC,2008
,81,Falconer Museum: Forres pays tribute to the town's most famous son,"Stephens, S.",MUSEUMS ASSOC,2008
,82,Shaping a City Museum's Future Developing an Audience-Centered Approach,"McRainey, D.L.",MUSEUM EDUCATION ROUNDTABLE,2013
,83,From the classroom to the museum: understanding faculty-designed assignments in an academic museum,"Barnes, A.; Lynch, D.R.",Taylor & Francis,2012
,84,Reinterpreting museums' intended experience during the COVID-19 pandemic: insights from Italian University Museums,"Magliacani, Michela; Sorrentino, Daniela",Taylor & Francis,2022
,85,Museum–University Partnerships Transform Teenagers' Futures,"Rose, Sarah W.",MANEY PUBLISHING,2016
,86,NATURE AND CULTURE IN MUSEUMS: AN INTRODUCTION,INBAL LIVNE,Museum Ethnographers Group,2016
,87,For my next trick: Can Alexander Sturgis perform magic at the Holburne Museum?,"Heywood, F.",MUSEUMS ASSOC,2005
,88,The contemporary museum: shaping museums for the global now,"Dickenson, Victoria",Taylor & Francis,2019
,89,De‐schooling the Museum: a Proposal to Increase Public Access to Museums and Their Resources,"Ames, Michael M.",Wiley-Blackwell,2014
,90,THE NATURAL OBJECT: EXHIBITING THE MACLEAY MUSEUM'S SPECIMEN COLLECTIONS,JUDE PHILP,Museum Ethnographers Group,2016
,91,"Imagine Africa with the Penn Museum. Exhibit at the University of Pennsylvania Museum of Archaeology and Anthropology. Philadelphia. September 18, 2011-present.","Marsh, D. E.",BLACKWELL,2014
,92,"Connecting health and the museum: An exhibition initiative by the National Health Council at the Smithsonian Institution's United States National Museum, 1922–1924","Brown, Julie K.",Maney Publishing,2019
,93,Museum-Based Online Learning One Year After Covid-19 Museum Closures,"Ennes, Megan; Wagner-Pelkey, Amanda; McVey, Meghan",MANEY PUBLISHING,2021
,94,"Museums in a time of migration: Rethinking museums' roles, representations, collections, and collaborations","Babić, Darko",Taylor & Francis,2018
,95,Clocks and Watches Gallery: The British Museum's new permanent gallery ticks all the right boxes,"Lewis, P.",MUSEUMS ASSOC,2009
,96,"Seven Stories, the National Centre for Children's Books, Newcastle upon Tyne : On the occasion of the museum's 10th birthday, Mary Stones and her three-year-old son find the centre's three exhibitions thoroughly engaging and multi-sensory",unknown,MUSEUMS ASSOC,2015
,97,Museum/University Ecology: An Earth Day Example from a Children's Museum,"Clarke-Vivier, Sara; Bard, Jane",MANEY PUBLISHING,2016
,98,British Museum's Nazi loot dilemma could prompt change in the law,unknown,MUSEUMS ASSOC,2005
,99,FAITH AND COMMUNITY: INTERPRETING BELIEFS IN THE MODERN MUSEUM: AN INTRODUCTION,STEPHEN TERENCE WELSH,"Museum Ethnographers Group,",2017
,100,Visitor engagement at museums: Generation Y and ‘Lates’ events at the National Museum of Scotland,"Barron, Paul; Leask, Anna",Taylor & Francis,2017
